i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p01013,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47165,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51097,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p05015,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p51820,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p41051,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p47061,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p27057,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p38081,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p36089,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p29179,process,0.681773813,1.751976893,1.01540288,1.133786848,0.989486704
