r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p06089,3.31475,6.6295,16.43,30.277,46.845,63.762,83.879,79.4336092,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342,81.6660342
p06091,0.09775,0.1955,0.485,0.955,1.548,2.388,3.428,3.316886584,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607,3.440752607
p06095,8.182,16.364,40.555,89.06,130.418,166.934,217.541,205.2024686,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318,210.55318
p06097,14.7885,29.577,73.3,106.426,152.115,201.258,263.391,250.090796,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885,256.8837885
p06099,9.616,19.232,47.662,91.897,131.157,163.607,212.137,200.1474354,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653,205.0443653
p06101,1.99,3.98,9.864,22.618,36.867,47.928,63.565,60.04423061,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819,61.49437819
p06103,0.9605,1.921,4.761,8.752,13.086,18.953,26.293,25.27414441,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035,26.13776035
p06105,0.16425,0.3285,0.814,0.873,0.809,0.825,1.07,0.999357695,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814,1.018303814
p06109,1.40575,2.8115,6.968,15.834,25.757,32.661,43.619,41.47334435,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204,42.66687204
p06113,3.20775,6.4155,15.899,28.636,40.826,51.941,69.731,66.40926034,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636,68.30461636
p06115,1.2145,2.429,6.02,12.061,18.94,27.815,37.877,35.99016093,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961,37.04844961
p06025,2.978,5.956,14.761,25.602,33.404,39.746,51.422,48.29615758,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209,49.45146209
p06027,0.39575,0.7915,1.962,3.826,6.054,9.209,13.892,13.73043901,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004,14.32801004
p06029,13.64,27.28,67.608,142.371,221.058,298.866,399.726,379.2940534,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247,389.9476247
p06037,165.8855,331.771,822.225,1529.514,2261.734,2980.272,3961.965,3807.871632,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809,3941.12809
p06051,0.39975,0.7995,1.981,3.323,4.744,6.994,10.489,10.51982359,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965,11.07985965
p06059,45.3415,90.683,224.739,385.356,582.087,816.114,1130.118,1091.058471,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481,1134.149481
p06065,33.90325,67.8065,168.044,321.802,484.347,669.583,938.708,912.0692163,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992,950.9003992
p06071,33.0125,66.025,163.629,317.006,519.662,739.306,1029.504,992.6850923,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785,1030.59785
p06107,7.0185,14.037,34.788,68.005,107.822,153.853,211.41,202.7112272,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699,209.3812699
p06111,11.15025,22.3005,55.267,96.544,145.778,213.883,310.483,304.3575538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538,317.5888538
p06073,54.45875,108.9175,269.929,528.48,822.556,1110.596,1471.826,1404.811827,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377,1450.031377
p32001,0.082,0.164,0.415,0.857,1.002,1.362,1.836,1.944557969,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514,2.05725514
p32005,0.1935,0.387,0.979,2.806,3.384,4.842,6.976,7.375627653,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821,7.728103821
p32007,0.15025,0.3005,0.76,1.385,1.581,2.045,2.661,2.731373333,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427,2.868532427
p32009,0.0025,0.005,0.013,0.064,0.078,0.127,0.196,0.208454979,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136,0.218240136
p32011,0.008,0.016,0.04,0.074,0.081,0.103,0.133,0.134882634,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007,0.13797007
p32013,0.04275,0.0855,0.216,0.416,0.483,0.643,0.867,0.895130206,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666,0.941796666
p32015,0.023,0.046,0.116,0.204,0.23,0.292,0.375,0.388298491,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667,0.40785667
p32017,0.01375,0.0275,0.07,0.139,0.156,0.211,0.307,0.313704307,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937,0.323893937
p32019,0.1725,0.345,0.873,2.349,2.833,3.93,5.541,5.898049711,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388,6.236831388
p32021,0.01775,0.0355,0.09,0.261,0.315,0.449,0.633,0.679522359,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096,0.719980096
p32023,0.26475,0.5295,1.34,4.731,5.95,8.914,12.93,13.41571286,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788,13.88110788
p32027,0.0165,0.033,0.084,0.155,0.183,0.241,0.341,0.35049048,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798,0.374634798
p32029,0.043,0.086,0.218,0.38,0.44,0.542,0.668,0.692806255,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462,0.725561462
p32031,2.25,4.5,11.388,23.53,27.824,36.795,48.245,50.301004,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216,52.54111216
p32033,0.03775,0.0755,0.191,0.336,0.371,0.465,0.604,0.613102881,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015,0.627908015
p32510,0.274,0.548,1.387,3.19,3.747,4.93,6.566,6.945433798,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343,7.300890343
p32003,9.24275,18.4855,46.781,189.609,283.051,502.753,764.283,784.1166888,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232,806.4052232
p16009,0.00125,0.0025,0.026,0.04,0.098,0.255,1.559,9.152604168,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145,9.331955145
p16017,0.0055,0.011,0.116,0.159,0.434,1.146,6.065,35.60594979,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567,36.31332567
p16021,0.001,0.002,0.021,0.02,0.062,0.169,1.376,8.069455746,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327,8.225090327
p16055,0.01175,0.0235,0.248,0.388,0.999,2.411,7.074,41.56122243,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432,42.42551432
p16057,0.0165,0.033,0.349,0.575,1.056,3.005,28.008,164.273764,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838,167.4050838
p16061,0.0005,0.001,0.011,0.013,0.038,0.095,0.463,2.714002085,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103,2.767576103
p16069,0.006,0.012,0.127,0.192,0.448,1.181,7.18,42.1365173,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103,42.96664103
p16001,0.02,0.04,0.423,0.985,3.299,7.431,8.99,52.93325903,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955,54.16639955
p16003,0.00025,0.0005,0.005,0.013,0.033,0.077,0.093,0.549748916,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355,0.56441355
p16013,0.002,0.004,0.042,0.1,0.288,0.659,0.801,4.706586446,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142,4.80695142
p16015,0.00075,0.0015,0.016,0.035,0.095,0.215,0.26,1.533779039,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663,1.569750663
p16023,0.00025,0.0005,0.005,0.009,0.022,0.049,0.06,0.35049048,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056,0.358726056
p16025,0,0,0,0.01,0.044,0.099,0.116,0.681566036,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657,0.695017657
p16027,0.0105,0.021,0.222,0.518,1.583,3.589,4.368,25.65324636,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461,26.26049461
p16035,0.0005,0.001,0.011,0.017,0.05,0.128,0.617,3.6254817,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984,3.698456984
p16037,0,0,0,0.003,0.006,0.013,0.016,0.091965432,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231,0.094239231
p16039,0.00175,0.0035,0.037,0.088,0.59,1.327,1.583,9.283399449,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751,9.460987751
p16045,0.001,0.002,0.021,0.049,0.247,0.554,0.669,3.931011302,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363,4.012430363
p16047,0.001,0.002,0.021,0.064,0.326,0.759,0.916,5.373846748,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549,5.486331549
p16049,0.00075,0.0015,0.016,0.032,0.084,0.192,0.232,1.366197585,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215,1.39899215
p16053,0.001,0.002,0.021,0.045,0.164,0.367,0.446,2.618971138,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485,2.679758485
p16059,0.0005,0.001,0.011,0.026,0.071,0.162,0.198,1.161829959,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188,1.189159188
p16063,0.00025,0.0005,0.005,0.022,0.149,0.338,0.399,2.342053004,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502,2.388575502
p16067,0.00125,0.0025,0.026,0.055,0.152,0.345,0.436,2.558682688,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943,2.619917943
p16073,0.0005,0.001,0.011,0.029,0.108,0.245,0.313,1.836243127,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537,1.879009537
p16075,0.001,0.002,0.021,0.049,0.13,0.295,0.361,2.126445157,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886,2.175773886
p16079,0.00125,0.0025,0.026,0.035,0.091,0.239,1.17,6.869817776,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055,7.009603055
p16085,0.001,0.002,0.021,0.052,0.138,0.314,0.378,2.222497942,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125,2.276299125
p16087,0.0005,0.001,0.011,0.026,0.077,0.176,0.217,1.275253992,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713,1.306854713
p16005,0.01125,0.0225,0.238,0.666,2.289,5.397,6.349,37.25621837,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879,37.99169879
p16007,0.002,0.004,0.042,0.156,0.632,1.455,1.753,10.28275714,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069,10.47770069
p16011,0.00325,0.0065,0.069,0.217,1.111,2.605,3.554,20.84549794,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324,21.25925324
p16019,0.03325,0.0665,0.703,2.046,8.463,18.682,29.914,175.4659571,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013,178.8084013
p16029,0.0005,0.001,0.011,0.027,0.123,0.293,0.354,2.074331412,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782,2.114717782
p16031,0.00125,0.0025,0.026,0.059,0.153,0.345,0.426,2.504525267,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498,2.564203498
p16033,0.0005,0.001,0.011,0.032,0.132,0.292,0.339,1.991562524,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446,2.029849446
p16041,0.0045,0.009,0.095,0.302,1.667,3.78,6.95,40.7672542,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388,41.54384388
p16043,0,0,0,0,0.001,0.003,0.007,0.04393904,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049,0.044772049
p16051,0.0025,0.005,0.053,0.248,1.273,3.046,3.649,21.40546524,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783,21.81392783
p16065,0.003,0.006,0.063,0.116,0.426,1.142,4.196,24.61097146,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557,25.08126557
p16071,0.004,0.008,0.085,0.296,1.175,2.53,2.944,17.26702079,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407,17.59437407
p16077,0.00025,0.0005,0.005,0.014,0.038,0.085,0.103,0.610037366,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674,0.625314674
p16081,0.0005,0.001,0.011,0.006,0.016,0.07,0.755,4.43069015,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482,4.514688482
p16083,0.00325,0.0065,0.069,0.154,0.543,1.226,1.502,8.839921699,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027,9.039329027
p30001,0.0065,0.013,0.298,0.269,0.46,0.777,1.436,1.135262167,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378,1.170572378
p30007,0.0015,0.003,0.069,0.063,0.102,0.17,0.307,0.247284828,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841,0.257275841
p30023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30029,0.00625,0.0125,0.286,0.244,0.371,0.594,1.05,0.83790727,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927,0.874473927
p30039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30043,0.00125,0.0025,0.057,0.051,0.087,0.146,0.252,0.209476818,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591,0.228826591
p30047,0.00025,0.0005,0.011,0.012,0.02,0.033,0.051,0.042917202,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005,0.045852005
p30053,0.001,0.002,0.046,0.045,0.074,0.125,0.195,0.16451594,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867,0.17452867
p30057,0.00675,0.0135,0.309,0.303,0.55,0.949,1.697,1.314083841,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663,1.33899663
p30061,0,0,0,0.004,0.007,0.01,0.017,0.014305734,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238,0.015107238
p30063,0.0155,0.031,0.71,0.661,1.171,2.062,3.443,2.955155884,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735,3.224357735
p30077,0,0,0,0.004,0.005,0.008,0.015,0.012262058,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526,0.012494526
p30081,0.00175,0.0035,0.08,0.063,0.101,0.165,0.288,0.238088285,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026,0.255329026
p30089,0.0005,0.001,0.023,0.022,0.04,0.067,0.12,0.097074623,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032,0.102627032
